Tahun,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
2020,Yogyakarta,25.43571257650273,6.1281420933333335,0,0,1,1,63,3,6
2021,Aceh,21.255045597260278,9.266849332739726,5,1,4,177,61173,62,101
2021,Bali,24.3162215369863,10.434246612246575,0,0,0,15,115,1,13
2021,Banten,25.81340191780822,6.52438353890411,4,0,14,132,15937,6,67
2021,Bengkulu,25.74081031506849,7.92712326339726,0,0,0,40,6548,11,25
2021,Gorontalo,22.974246665753427,13.926301526958904,1,1,0,26,14613,9,22
2021,Jakarta Raya,26.289006663013694,6.1950685373424665,5,1,0,0,1516,0,30
2021,Jambi,26.1678652,6.984931466547946,0,0,0,64,3586,14,37
2021,Jawa Barat,20.0914955369863,10.67479450671233,20,0,282,877,321650,227,303
2021,Jawa Tengah,25.20965762465753,7.418630137863014,4,3,2,187,125911,20,161
2021,Jawa Timur,26.220913194520545,5.230958941205479,9,2,0,453,86390,41,156
2021,Kalimantan Barat,25.72107321369863,8.376438327890412,10,1,2,35,157881,26,45
2021,Kalimantan Selatan,24.885753424657533,8.304657534246575,35,0,876,21242,253000,1472,62
2021,Kalimantan Tengah,26.149303512328768,8.782191795561644,0,0,0,12,84695,3,51
2021,Kalimantan Timur,26.24885837808219,7.575890376493151,2,0,85,2,13900,5,36
2021,Kalimantan Utara,24.08813927945205,10.567123349726028,2,0,0,38,4785,34,18
2021,Kepulauan Bangka Belitung,26.393732813698627,8.50767126219178,0,0,0,69,2220,5,15
2021,Kepulauan Riau,26.8760272739726,7.533698589726028,0,6,0,35,1795,4,14
2021,Lampung,26.116449605479453,6.478630130465754,1,0,0,789,3980,1,25
2021,Maluku,22.813869969863013,11.390958888164382,0,0,0,173,1619,6,24
2021,Maluku Utara,24.46328768219178,16.584383723835614,0,0,0,116,1438,1,20
2021,Nusa Tenggara Barat,24.876301375342464,6.851506929041095,10,0,18,7246,24284,244,79
2021,Nusa Tenggara Timur,26.210479767123285,5.942465756273973,187,47,232,54709,51402,4733,60
2021,Papua,20.29382419452055,30.914246611506847,0,0,0,178,3232,18,20
2021,Papua Barat,21.522477128767125,15.688767196684932,0,0,0,0,36,2,5
2021,Riau,26.22607286849315,6.066849347178081,0,0,0,4730,7003,22,68
2021,Sulawesi Barat,16.540958894520546,12.398356154465752,2,1,2,46,1185,5,25
2021,Sulawesi Selatan,24.53482884931507,10.36082189819178,5,1,20,854,43980,62,73
2021,Sulawesi Tengah,18.92735152876712,17.74054808958904,0,0,8,715,4526,46,128
2021,Sulawesi Tenggara,25.68190616438356,9.566849358,4,0,0,84,1480,24,39
2021,Sulawesi Utara,25.270114284931505,7.922465786082192,10,1,1,483,10852,20,23
2021,Sumatera Barat,23.59910951780822,5.863287616849315,10,0,482,74,23727,37,58
2021,Sumatera Selatan,26.220799002739724,6.263561651397261,2,0,4,267,8120,12,39
2021,Sumatera Utara,20.04235160547945,8.390684886465754,9,2,2,799,146731,94,84
2021,Yogyakarta,25.27635837808219,6.361095891178082,0,0,0,0,132,4,6
2022,Aceh,21.11513700273973,10.742191852438356,10,2,0,421,107772,22,111
2022,Bali,24.23352727945205,10.048493324164385,5,0,3,153,4192,7,11
2022,Banten,25.620741917808218,8.96630138539726,6,2,0,153,43490,21,52
2022,Bengkulu,25.71433780547945,7.492054860383561,0,0,3,22,16457,23,36
2022,Gorontalo,22.860376679452056,15.535890705534246,0,0,0,5,9188,1,32
2022,Jakarta Raya,26.2606849369863,5.718630192739727,3,0,4,1,1346,1,20
2022,Jambi,26.15929229041096,7.056712397753425,0,0,0,0,7839,0,5
2022,Jawa Barat,19.992659909589044,11.387671514931506,17,4,16,2410,79702,215,194
2022,Jawa Tengah,25.034942852054797,7.423561616520548,12,0,17,3087,222949,40,183
2022,Jawa Timur,25.92054791780822,6.025205534465753,10,0,5,742,95217,34,158
2022,Kalimantan Barat,25.59074200547945,9.137534235452057,1,0,2,7,113504,119,40
2022,Kalimantan Selatan,24.903013698630136,8.135616438356164,1,0,0,6,30136,4,55
2022,Kalimantan Tengah,26.04920094520548,9.449589067041096,2,0,0,0,60445,0,47
2022,Kalimantan Timur,26.279999923287672,7.89506857120548,2,0,3,1,72554,0,28
2022,Kalimantan Utara,24.00042241369863,11.110136984383562,0,0,0,22,6103,5,13
2022,Kepulauan Bangka Belitung,26.359486295890413,9.67095898679452,0,0,0,0,111,0,6
2022,Kepulauan Riau,26.86082186849315,9.641369942465754,0,0,1,2,1496,2,3
2022,Lampung,26.07149538630137,8.071780791890411,5,0,0,42,7434,5,37
2022,Maluku,22.832887997260272,10.74438379950685,7,0,3,43,3474,1,19
2022,Maluku Utara,24.410308049315063,15.959452088027396,1,0,0,62,3882,5,34
2022,Nusa Tenggara Barat,24.780947339726023,6.967945340821918,1,0,0,696,3892,6,27
2022,Nusa Tenggara Timur,25.72833321369863,6.230137066000001,5,2,0,455,5707,32,32
2022,Papua,20.462203210958904,24.207123178356166,8,0,17,1817,1544,0,6
2022,Papua Barat,21.472305967123287,15.41534253989041,3,0,10,258,623,2,19
2022,Riau,26.144109361643835,7.096712392438356,0,0,0,18,8541,0,42
2022,Sulawesi Barat,16.49896115890411,11.83479468339726,1,1,0,630,16816,22,29
2022,Sulawesi Selatan,24.523641534246572,10.821918100931509,4,1,1,90,33041,19,54
2022,Sulawesi Tengah,18.809349339726023,19.03479478539726,8,4,0,627,11428,26,93
2022,Sulawesi Tenggara,25.609314928767123,9.195068612547946,4,0,3,57,1180,1,17
2022,Sulawesi Utara,25.2304109260274,8.651506886136985,4,0,0,41,5296,0,28
2022,Sumatera Barat,23.747728367123287,6.234246560904109,0,3,0,254,8392,12,25
2022,Sumatera Selatan,26.069326323287672,7.255616451835617,0,0,1,26,13010,3,38
2022,Sumatera Utara,20.008561673972604,9.095616603452054,7,1,1,10,123502,2,71
2022,Yogyakarta,25.06412096438356,6.193150586328767,1,2,0,64,622,10,7
