Tahun,Provinsi,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir,temperature_2m_mean (°C),rain_sum (mm)
2020,Nusa Tenggara Barat,3,0,4,29.0,5360,20,42,25.208139849726777,4.920491870218579
2020,Nusa Tenggara Timur,0,0,0,2.0,526,0,3,26.065255103825137,5.47021860295082
2020,Papua,2,0,0,47.0,31,6,6,20.31101998087432,32.11666642087432
2020,Papua Barat,7,0,7,464.0,2865,2,6,21.709654106557377,15.098633912786886
2020,Riau,0,0,0,13.0,4564,0,19,26.282752639344263,6.822404411475411
2020,Sulawesi Barat,0,0,0,3.0,1310,6,5,16.86376367486339,12.399726802213117
2020,Sulawesi Selatan,46,9,110,6597.0,49275,534,52,24.63637280327869,10.664480950519126
2020,Sulawesi Tengah,0,1,2,462.0,5727,21,46,19.05410954644809,17.629781539590166
2020,Sulawesi Tenggara,0,0,0,50.0,3464,80,6,25.75268650819672,9.149726731174862
2020,Sulawesi Utara,7,0,6,7594.0,17178,29,10,25.3253986284153,8.613114770819672
2020,Sumatera Barat,3,1,3,135.0,6956,71,86,23.98181924043716,5.9770491699180335
2020,Sumatera Selatan,2,0,0,995.0,10800,49,56,26.298724915300543,7.076229517021858
2020,Sumatera Utara,22,4,31,477.0,81021,90,78,20.233800098360657,9.45546449464481
2020,Yogyakarta,0,0,1,1.0,63,3,6,25.43571257650273,6.1281420933333335
2021,Aceh,5,1,4,177.0,61173,62,101,21.255045597260278,9.266849332739726
2021,Bali,0,0,0,15.0,115,1,13,24.3162215369863,10.434246612246575
2021,Banten,4,0,14,132.0,15937,6,67,25.81340191780822,6.52438353890411
2021,Bengkulu,0,0,0,40.0,6548,11,25,25.74081031506849,7.92712326339726
2021,Gorontalo,1,1,0,26.0,14613,9,22,22.974246665753427,13.926301526958904
2021,Jakarta Raya,5,1,0,0.0,1516,0,30,26.289006663013694,6.1950685373424665
2021,Jambi,0,0,0,64.0,3586,14,37,26.1678652,6.984931466547946
2021,Jawa Barat,20,0,282,877.0,321650,227,303,20.0914955369863,10.67479450671233
2021,Jawa Tengah,4,3,2,187.0,125911,20,161,25.20965762465753,7.418630137863014
2021,Jawa Timur,9,2,0,453.0,86390,41,156,26.220913194520545,5.230958941205479
2021,Kalimantan Barat,10,1,2,35.0,157881,26,45,25.72107321369863,8.376438327890412
2021,Kalimantan Selatan,35,0,876,21242.0,253000,1472,62,24.885753424657533,8.304657534246575
2021,Kalimantan Tengah,0,0,0,12.0,84695,3,51,26.149303512328768,8.782191795561644
2021,Kalimantan Timur,2,0,85,2.0,13900,5,36,26.24885837808219,7.575890376493151
2021,Kalimantan Utara,2,0,0,38.0,4785,34,18,24.08813927945205,10.567123349726028
2021,Kepulauan Bangka Belitung,0,0,0,69.0,2220,5,15,26.393732813698627,8.50767126219178
2021,Kepulauan Riau,0,6,0,35.0,1795,4,14,26.8760272739726,7.533698589726028
2021,Lampung,1,0,0,789.0,3980,1,25,26.116449605479453,6.478630130465754
2021,Maluku,0,0,0,173.0,1619,6,24,22.813869969863013,11.390958888164382
2021,Maluku Utara,0,0,0,116.0,1438,1,20,24.46328768219178,16.584383723835614
2021,Nusa Tenggara Barat,10,0,18,7246.0,24284,244,79,24.876301375342464,6.851506929041095
