Data Bencana;;;;;;;;;;;;;;;
No.;Kode Identitas Bencana;ID Kabupaten;Tanggal Kejadian;Kejadian;Lokasi;Kabupaten;Provinsi;Kronologi & Dokumentasi;Penyebab;Meninggal;Hilang;Terluka;Rumah Rusak;Rumah Terendam;Fasum Rusak
55;1906 107 2023 09 020 1;1906;20/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Simpang Renggiang Ds. Aik Madu;BELITUNG TIMUR;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Penyelidikan;;;;0;;0
56;3520 107 2023 09 020 1;3520;20/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Ngariboyo Ds. Banjarpanjang;MAGETAN;JAWA TIMUR;Dokumentasi;Dalam penyeledikan;;;;0;;0
57;7304 106 2023 09 020 1;7304;20/09/23;KEKERINGAN;Kec. Tamalatea Ds. Borongtala;JENEPONTO;SULAWESI SELATAN;Dokumentasi;Kemarau panjang akibat fenomena El Nino yang terjadi saat ini menyebabkan kekeringan berimbas pada kesulitan mendapatkan akses air bersih;;;;0;;0
58;6504 101 2023 09 020 1;6504;20/09/23;BANJIR;Kec. Sembakung Ds. Atap Kec. Lumbis Ds. Tagul Ds. Manuk Bungku Kec. Sembakung Atulai Kec. Lumbis Pansiangan  Kec. Lumbis Ogong Ds. Samunti Ds. Sinampila 1 Ds. Long Bulu Ds. Sedalit Ds. Uboi Sulok Ds. Uboi Alung Ds. Nansapan Ds. Suyadon Ds. Payang Ds. Tambalang Hilir Kec. Sebuku Kec. Tulin Onsoi Kec. Lumbis Hulu Ds. Tau Lumbis Ds. Lipaga Ds. Tuntulibing Ds. Mamasin Ds. Tetagas Ds. Kabungolor Ds. Sibalu Ds. Buluaun Hulu Ds. Kalisun Ds. Duyan Kec. Krayan Ds.  Long Katung Ds.  long Bawan Kec. Krayan Barat Ds. Pa’kemut Ds. Pa’lutut Kec. Krayan Timur Ds. Pa’kubuan Ds.  Long Umung;NUNUKAN;KALIMANTAN UTARA;Dokumentasi;Hujan dengan intensitas tinggi;;1;;0;2182;0
59;7207 101 2023 09 020 1;7207;20/09/23;BANJIR;Kec. Bokat Ds. Bokat 4 Ds. Langudon Ds. Tikopo Kec. Bukal Ds.Mopu Kec. Tiloan Ds. Balau  Ds. Boilan Kec. Momunu Ds. Pomayagon Ds. Lamadong 2   Ds. Tongon;BUOL;SULAWESI TENGAH;Dokumentasi;Dipicu oleh intensitas curah hujan yang cukup tinggi;;;;0;627;0
60;3522 105 2023 09 020 1;3522;20/09/23;PUTING BELIUNG;Kec. Tambakrejo Ds. Bakalan;BOJONEGORO;JAWA TIMUR;Dokumentasi;terjadi angin kencang di Dusun Bakalan RT 01 RW 01, Desa Bakalan, Kecamatan Tambakrejo yang mengakibatkan rumah salah satu warga mengalami kerusakan;;;;1;;0
61;1103 101 2023 09 020 1;1103;20/09/23;BANJIR;Kec. Bakongan Timur Gp. Simpang Kec. Labuhan Haji Barat Gp. Kuta Trieng Kec. Tapaktuan Gp. Lhok Bengkuang Timur Gp. Air Berudang Gp. Air Pinang Gp. Panjupian Gp. Panton Luas Kec. Samadua Gp. Kuta Blang Kec. Sawang Gp. Mutiara Gp. Kuta Baru Kec. Pasie Raja Gp. Paya Ateuk Gp. Ladang Tengoh Gp. Ladang Tuha Gp. Lhok Sialang Rayeuk Gp. Pulo Le Dua Gp. Le Mirah Gp. Sinebok Gp. Pante Raja Gp. Pucok Krueng Gp. Panton Bili Kec. Kluet Tengah Gp. Jambo Papeun Gp. Mersak Kec. Kluet Utara Gp. Pulo Kambing Kec. Meukek Gp. Rotteungoh Kec. Labuhan Haji Timur Gp. Keumumu Hilir;ACEH SELATAN;ACEH;Dokumentasi;Akibat hujan dengan Intensitas Sedang s/d Lebat yang mengguyur wilayah Kabupaten Aceh Selatan;;;;0;263;0
62;1971 107 2023 09 020 1;1971;20/09/23;KEBAKARAN HUTAN DAN LAHAN;Kec. Gerunggang Ds. Tuatunu Indah;KOTA PANGKALPINANG;KEPULAUAN BANGKA BELITUNG;Dokumentasi;Disebabkan oleh orang yang tidak bertanggung jawab;;;;0;;0
63;1110 101 2023 09 019 1;1110;19/09/23;BANJIR;Kec. Jempa Gp. Mon Mane Gp. Abeuk Usong Gp. Blang Seupeung Gp. Paloh Seulimeng Gp. Paloh Lawang Gp. Teupok Tunong Gp. Teupok Baro Gp. Dayah Mon Ara Gp.  Blang Gandai Kec. Peudada Gp. Tanjung Seulamat Gp. Alue Sijuk Gp. Dayah Mon Ar Gp. Tgk Dibaroh Gp. Blang Bati Gp. Blang Matang Gp. Hagu Gp. Meunasah Alue Gp. Blang Rangkuluh Gp. Cot Laot Gp. Cot Kruet Gp. Pinto Rimba Gp. Mulia Gp. Blang Beruru;BIREUEN;ACEH;Dokumentasi;Dipicu  hujan dengan intensitas tinggi;;;;0;974;0
64;6504 101 2023 09 019 1;6504;19/09/23;BANJIR;Kec. Krayan Ds.  Long Katung Ds.  long Bawan Kec. Krayan Barat Ds. Pa’kemut Ds. Pa’lutut Kec. Krayan Timur Ds. Pa’kubuan Ds.  Long Umung;NUNUKAN;KALIMANTAN UTARA;Dokumentasi;Hujan dengan intensitas tinggi;;;;0;;1
65;3271 106 2023 09 019 1;3271;19/09/23;KEKERINGAN;Kec. Tanah Sareal Ds. Kayu Manis;KOTA BOGOR;JAWA BARAT;Dokumentasi;Disebabkan musim kemarau;;;;0;;0
