Date,Province,temperature_2m_mean (°C),rain_sum (mm),Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak,Kejadian Banjir
April 2022,Kalimantan Timur,26.5376392,8.499999676666667,0,0,0,0,4678,0,5
April 2022,Kalimantan Utara,24.504861666666667,11.589999956666666,0,0,0,4,1444,1,2
April 2022,Kepulauan Bangka Belitung,26.8547228,11.053333303333334,0,0,0,0,111,0,3
April 2022,Kepulauan Riau,27.4412496,8.406666653333334,0,0,0,0,0,0,0
April 2022,Lampung,26.51138896666667,8.470000178333333,0,0,0,10,0,0,1
April 2022,Maluku,23.28638876666667,7.566666850000001,0,0,0,0,0,0,0
April 2022,Maluku Utara,24.692638866666663,14.77000034,0,0,0,21,211,0,2
April 2022,Nusa Tenggara Barat,25.055555066666667,5.383333576,0,0,0,2,491,0,2
April 2022,Nusa Tenggara Timur,25.986110066666665,2.8166667816666666,0,0,0,264,35,3,2
April 2022,Papua,20.52777796666667,15.60333381,0,0,0,0,0,0,0
April 2022,Papua Barat,21.568333666666668,12.883333476666667,0,0,0,0,38,0,1
April 2022,Riau,26.2991665,9.146666736666669,0,0,0,0,826,0,3
April 2022,Sulawesi Barat,16.609027899999997,13.26333393,0,0,0,0,43,0,1
April 2022,Sulawesi Selatan,24.863333766666663,8.720000088,0,0,0,0,86,0,2
April 2022,Sulawesi Tengah,19.298889,16.370000413333333,0,0,0,35,438,0,5
April 2022,Sulawesi Tenggara,26.00069403333333,6.870000128,0,0,0,4,16,0,2
April 2022,Sulawesi Utara,25.654861200000003,8.256666786666667,0,0,0,3,545,0,3
April 2022,Sumatera Barat,24.5926389,8.659999613333333,0,0,0,0,420,1,3
April 2022,Sumatera Selatan,26.40736073333333,8.176666563333333,0,0,0,0,170,0,1
April 2022,Sumatera Utara,20.2890278,9.42000039,0,0,0,0,18772,0,5
April 2022,Yogyakarta,25.28166613333333,4.9299999266666665,0,0,0,0,16,0,1
August 2018,Aceh,22.651343967741933,3.9806451916129033,0,0,0,8,4874,4,7
August 2018,Bali,22.850538032258065,0.6903225851612903,0,0,0,0,23,0,1
August 2018,Banten,26.278897387096773,0.21935484,0,0,0,0,5,0,1
August 2018,Bengkulu,25.163440483870968,7.909677656129032,0,0,0,0,475,0,1
August 2018,Gorontalo,24.19287635483871,2.71612909483871,0,0,0,0,90,0,1
August 2018,Jakarta Raya,27.108871258064514,0.2709677435483871,0,0,0,0,100,0,1
August 2018,Jambi,26.915993967741933,2.6000000032258064,0,0,0,0,0,0,0
