,objectid,uid,updated,nm_balai,kd_prov,provinsi,kab_kota,kecamatan,kel_desa,kd_kem,kd_unor,kl_dat_das,thn_data
84,138,66d94727-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Tidore Kepulauan,Oba Utara,Galala,33.0,5.0,Tidak Diketahui,Tidak Diketahui
85,139,66d9475b-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Tidore Kepulauan,Tidore,Indonesiana,33.0,5.0,Tidak Diketahui,Tidak Diketahui
86,141,66d947c4-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Ternate,Ternate Selatan,Ngade,33.0,5.0,Tidak Diketahui,Tidak Diketahui
87,142,66d947f8-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Ternate,Ternate Selatan,Ngade,33.0,5.0,Tidak Diketahui,Tidak Diketahui
88,143,66d9482b-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Utara,Tobelo,Gamsungi,33.0,5.0,Tidak Diketahui,Tidak Diketahui
89,144,66d9485f-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Utara,Tobelo,Wari,33.0,5.0,Tidak Diketahui,Tidak Diketahui
90,145,66d94891-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Halmahera Utara,Tobelo,Gamsungi,33.0,5.0,Tidak Diketahui,Tidak Diketahui
91,146,66d948c4-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Pulau Morotai,Morotai Selatan,Darame,33.0,5.0,Tidak Diketahui,Tidak Diketahui
92,147,66d948f8-ca7a-11eb-a0e3-0050568846de,1631806803000,BBPW Maluku Utara,82.0,Maluku Utara,Pulau Morotai,Morotai Selatan,Darame,33.0,5.0,Tidak Diketahui,Tidak Diketahui
93,148,6d011435-ca7a-11eb-a0e3-0050568846de,1628401843000,BPPW Aceh,11.0,Aceh,Tidak Diketahui,Aceh Tamiang,Aceh Tamiang,33.0,5.0,Tidak Diketahui,Tidak Diketahui
94,149,6e22dd8f-ca7a-11eb-a0e3-0050568846de,1649950629000,BPPW Bengkulu,17.0,Bengkulu,Kota Bengkulu,Tidak Diketahui,Tidak Diketahui,33.0,5.0,Tidak Diketahui,Tidak Diketahui
95,150,6e81909c-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Gambir,Cideng,33.0,5.0,Tidak Diketahui,Tidak Diketahui
96,151,6e8191cc-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Setiabudi,Guntur,33.0,5.0,Tidak Diketahui,Tidak Diketahui
97,152,6e819218-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Grogol Petamburan,Jelambar,33.0,5.0,Tidak Diketahui,Tidak Diketahui
98,153,6e819253-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Grogol,Wijaya Kusuma,33.0,5.0,Tidak Diketahui,Tidak Diketahui
99,154,6e81928c-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Grogol Petamburan,Jelambar,33.0,5.0,Tidak Diketahui,Tidak Diketahui
100,156,6e8192f9-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Tanah Abang,Gelora,33.0,5.0,Tidak Diketahui,Tidak Diketahui
101,157,6e81932c-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Gambir,Gambir,33.0,5.0,Tidak Diketahui,Tidak Diketahui
102,158,6e819366-ca7a-11eb-a0e3-0050568846de,1629988541000,BPPW DKI Jakarta,31.0,DKI Jakarta,Tidak Diketahui,Pademangan,Pademangan,33.0,5.0,Tidak Diketahui,Tidak Diketahui
