No,Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Kronologi & Dokumentasi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
82,7302 105 2022 012 024 1,7302,24/12/22,PUTING BELIUNG,BULUKUMBA,SULAWESI SELATAN,Dokumentasi,Hujan deras disertai angin Kencang,0,0,0,0,0,0
83,7472 105 2022 012 024 1,7472,24/12/22,PUTING BELIUNG,KOTA BAUBAU,SULAWESI TENGGARA,Dokumentasi,Angin kencang dan gelombang air laut tinggi,0,0,0,0,0,35
84,7305 105 2022 012 024 1,7305,24/12/22,PUTING BELIUNG,TAKALAR,SULAWESI SELATAN,Dokumentasi,Hujan yang cukup deras disertai angin kencang dan Gelombang,0,0,0,60,0,0
85,7205 101 2022 012 024 1,7205,24/12/22,BANJIR,DONGGALA,SULAWESI TENGAH,Dokumentasi,Dipicu oleh gelombang pasang dan angin kencang menyebabkan banjir rob,0,0,0,150,500,3
86,6101 101 2022 012 023 1,6101,23/12/22,BANJIR,SAMBAS,KALIMANTAN BARAT,Dokumentasi,Dipicu oleh hujan dengan intensitas sedang hingga,0,0,0,0,196,0
87,7301 105 2022 012 023 1,7301,23/12/22,PUTING BELIUNG,SELAYAR,SULAWESI SELATAN,Dokumentasi,Dipicu Angin Kencang yang berhembus pada wilayah tersebut,0,0,0,0,0,0
88,8206 101 2022 012 023 1,8206,23/12/22,BANJIR,HALMAHERA TIMUR,MALUKU UTARA,Dokumentasi,Dipicu akibat intensitas curah hujan tinggi,0,0,0,0,30,0
89,3509 105 2022 012 023 1,3509,23/12/22,PUTING BELIUNG,JEMBER,JAWA TIMUR,Dokumentasi,"Dipicu hujan ringan hingga sedang dengan angin kencang di wilayah kabupaten jember yang menyebabkan beberapa pohon tumbang dan berdampak kepada pemukiman warga,",0,0,0,22,0,0
90,7604 101 2022 012 023 1,7604,23/12/22,BANJIR,MAMUJU,SULAWESI BARAT,Dokumentasi,Dipicu oleh hujan dengan intensitas tinggi,0,0,0,36,0,0
91,7312 101 2022 012 023 1,7312,23/12/22,BANJIR,SOPPENG,SULAWESI SELATAN,Dokumentasi,"Dipicu hujan deras secara terus menerus di Kabupaten Soppeng dan sekitarnya, mengakibatkan Sungai Paddangeng dan Sungai Batu-Batu meluap sehingga menimbulkan banjir di beberapa kecamatan.",0,0,0,0,8578,0
92,3313 101 2022 012 023 1,3313,23/12/22,BANJIR,KARANGANYAR,JAWA TENGAH,Dokumentasi,"Dipicu oleh hujan dengan intensitas tinggi mengakibatkan debit air sungai irigasi meningkat, besarnya debit air sungai menyebabkan tanggul sungai roboh dan struktur tanah labil",1,0,0,0,56,0
93,3201 105 2022 012 023 1,3201,23/12/22,PUTING BELIUNG,BOGOR,JAWA BARAT,Dokumentasi,Disebabkan hujan deras dan angin kencang sehingga mengakibatkan dua unit rumah mengalami kerusakan,0,0,0,3,0,0
94,7308 101 2022 012 023 1,7308,23/12/22,BANJIR,MAROS,SULAWESI SELATAN,Dokumentasi,Terjadinya hujan dengan intensitas sedang hingga lebat yang di sertai dengan adanya angin kencang ditambah dengan kondisi air laut yg lagi pasang,2,0,0,0,0,0
95,5309 101 2022 012 023 1,5309,23/12/22,BANJIR,FLORES TIMUR,NUSA TENGGARA TIMUR,Dokumentasi, gelombang tinggi dan menghancurkan talud penahan gelombang sehingga air laut menggenangi pemukiman warga,0,0,0,0,120,0
96,7601 101 2022 012 023 1,7601,23/12/22,BANJIR,MAJENE,SULAWESI BARAT,Dokumentasi," Pada tanggal 23 Desember 2022 pukul 15.00 WITA hujan mulai turun, dan pukul 16;00 mulai terjadi gelombang pasang dan puncaknya pukul 17:30 ketinggian gelombang pasang mencapai 1 s.d 2 meter. Gelombang pasang menghantam wilayah pesisir dan wilayah permukiman yang dekat dengan wilayah pesisir pantai",1,0,0,266,537,0
97,7601 101 2022 012 023 1,7601,23/12/22,BANJIR,MAJENE,SULAWESI BARAT,Dokumentasi,Dipicu oleh hujan dengan intensitas tinggi,0,0,0,0,223,0
98,3201 105 2022 012 023 1,3201,23/12/22,PUTING BELIUNG,BOGOR,JAWA BARAT,Dokumentasi,Disebabkan hujan dengan intensitas deras disertai angin kencang menyebabkan 1 unit rumah terdampak,0,0,0,1,0,0
99,3520 105 2022 012 023 1,3520,23/12/22,PUTING BELIUNG,MAGETAN,JAWA TIMUR,Dokumentasi,Hujan intensitas ringan disertai angin kencang,0,0,0,3,0,0
100,3310 101 2022 012 023 1,3310,23/12/22,BANJIR,KLATEN,JAWA TENGAH,Dokumentasi,Terjadi hujan dengan intensitas sedang hingga lebat disertai angin kencang,0,0,0,1,170,0
101,6106 105 2022 012 023 1,6106,23/12/22,PUTING BELIUNG,KETAPANG,KALIMANTAN BARAT,Dokumentasi,Dipicu oleh hujan dengan intensitas tinggi dan gelombang pasang,0,0,0,4,0,0
102,3207 105 2022 012 023 1,3207,23/12/22,PUTING BELIUNG,CIAMIS,JAWA BARAT,Dokumentasi,Hujan Intensitas Tinggi disetai angin kencang,0,0,0,1,0,0
103,7315 101 2022 012 023 1,7315,23/12/22,BANJIR,PINRANG,SULAWESI SELATAN,Dokumentasi,Dipicu hujan dengan intensitas sedang hingga lebat yang di sertai dengan adanya angin kencang,0,0,0,0,1790,0
104,6409 101 2022 012 023 1,6409,23/12/22,BANJIR,PENAJAM PASER UTARA,KALIMANTAN TIMUR,Dokumentasi,Kondisi pasang tinggi air laut terjadi hujan deras yang disertai angin kencang mengakibatkan gelombang air laut cukup besar /dorongan air laut yang kuat sehingga menghantam ke perumahan warga yang berada tepat di dekat pantai .,0,0,0,0,9,0
105,3513 104 2022 012 023 1,3513,23/12/22,GELOMBANG PASANG / ABRASI,PROBOLINGGO,JAWA TIMUR,Dokumentasi,Telah terjadi gelombang ekstrem disertai angin kencang mengakibatkan tembok/tangkis penahan ombak roboh dan gelombang air laut juga mengenai beberapa bangunan rumah warga,0,0,0,0,0,0
106,7304 101 2022 012 023 1,7304,23/12/22,BANJIR,JENEPONTO,SULAWESI SELATAN,Dokumentasi,Hujan deras disertai ombak besar dan Roboh,0,0,0,1,0,0
107,1805 101 2022 012 023 1,1805,23/12/22,BANJIR,LAMPUNG TENGAH,LAMPUNG,Dokumentasi,Dipicu hujan lebat dan  aliran air sungai meluap,0,0,0,0,7,0
108,3512 101 2022 012 022 1,3512,22/12/22,BANJIR,SITUBONDO,JAWA TIMUR,Dokumentasi,terjadi banjir ROB / pasang air laut memasuki rumah warga,0,0,0,0,140,0
109,1306 105 2022 012 022 1,1306,22/12/22,PUTING BELIUNG,PADANG PARIAMAN,SUMATERA BARAT,Dokumentasi,Angin yang kencang dan disertai hujan yang lebat sehingga menyebabkan pohon tersebut tumbang menimpa fasilitas sekolah,0,0,0,0,0,1
110,1803 105 2022 012 022 1,1803,22/12/22,PUTING BELIUNG,LAMPUNG SELATAN,LAMPUNG,Dokumentasi,Dipicu angin kencang sehingga menimbulkan kerusakan baik pemukiman dan lahan pertanian.,0,0,0,0,0,0
111,3507 102 2022 012 022 1,3507,22/12/22,TANAH LONGSOR,MALANG,JAWA TIMUR,Dokumentasi,Curah hujan tinggi mengakibatkan  tanah yang berada di bawah bangunan Balai  tergerus serta menjadi labil hingga menyebabkan amblesnya lantai dan robohnya sebagian dinding Balai,0,0,0,0,0,1
112,3208 108 2022 012 022 1,3208,22/12/22,GEMPA BUMI,KUNINGAN,JAWA BARAT,Dokumentasi,"Telah terjadi gempa bumi dengan kekuatan Mag:3.8, Lok:6.99 LS - 108.48 BT (1 km BaratDaya KAB-KUNINGAN-JABAR), Kedlmn: 5 Km, pada hari Kamis, 22 Desember 2022, Pkl. 04.18.28 WIB mengakibatkan 1 unit rumah retak-retak dan miring di bagian dinding",0,0,0,1,0,0
113,3372 101 2022 012 022 1,3372,22/12/22,BANJIR,KOTA SURAKARTA,JAWA TENGAH,Dokumentasi,Dipicu hujan deras di seputar soloraya,0,0,0,0,729,0
114,1212 101 2022 012 022 1,1212,22/12/22,BANJIR,DELI SERDANG,SUMATERA UTARA,Dokumentasi,Hujan dengan intensitas tinggi menyebabkan debit air di drainase naik Mengakibatkan drainase tidak dapat menampung air hingga meluap ke pemukiman warga,0,0,0,0,101,0
115,6301 105 2022 012 022 1,6301,22/12/22,PUTING BELIUNG,TANAH LAUT,KALIMANTAN SELATAN,Dokumentasi,Hujan dengan intensitas sedang-lebat disertai angin puting beliung,0,0,0,8,0,0
116,7111 101 2022 012 022 1,7111,22/12/22,BANJIR,BOLAANG MONGONDOW TIMUR,SULAWESI UTARA,Dokumentasi,Dipicu akibat intensitas curah hujan tinggi,0,0,0,0,4,0
117,1705 105 2022 012 022 1,1705,22/12/22,PUTING BELIUNG,SELUMA,BENGKULU,Dokumentasi,Terjadi hujan dengan intensitas sedang hingga lebat disertai angin kencang,0,0,0,1,0,0
