,Provinsi,Tahun,Timbulan Sampah Harian (Ton),Timbulan Sampah Tahunan (Ton),Sampah masuk (ton/tahun),Sampah terkelola (ton/tahun),Bahan baku Pakan Ternak,Bahan baku Kompos,Bahan baku Daur Ulang,Bahan baku Up-cycle,Sisa Makanan (%),Kayu-Ranting (%),Kertas-Karton (%),Plastik(%),Logam(%),Kain(%),Karet- Kulit (%),Kaca(%),Lainnya(%)
90,Papua,2022,439.72,160498.05,94.248,93.048,0.0,480.0,88488.0,4080.0,6574.0,5929.0,6438.0,5614.0,2398.0,501.0,1013.0,833.0,500.0
91,Papua Barat,2018,150.22,54830.04,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,0.0,1100.0,2600.0,0.0,0.0,0.0,0.0,1900.0
92,Papua Barat,2020,156.67,57182.95,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,0.0,1100.0,2600.0,0.0,0.0,0.0,0.0,1900.0
93,Papua Barat,2021,160.02,58405.66,0.0,0.0,0.0,0.0,0.0,0.0,4400.0,0.0,1100.0,2600.0,0.0,0.0,0.0,0.0,1900.0
94,Papua Barat,2022,188.81,68918.25,0.0,0.0,0.0,0.0,0.0,0.0,5400.0,1500.0,3100.0,5100.0,1000.0,500.0,1000.0,500.0,1900.0
106,Riau,2019,2216.59,809051.48,227.52,210.36,0.0,53400.0,155760.0,1200.0,6700.0,5800.0,3900.0,8500.0,1400.0,1000.0,900.0,1000.0,800.0
107,Riau,2020,2384.7200000000003,870421.49,227.52,200.76,0.0,43800.0,155760.0,1200.0,6900.0,4300.0,7100.0,12400.0,2900.0,1000.0,1200.0,1100.0,1200.0
108,Riau,2021,1780.91,650029.0900000001,129.672,129.288,0.0,600.0,128568.0,120.0,20875.0,2725.0,2967.0,7445.0,575.0,775.0,715.0,765.0,3158.0
109,Riau,2022,2275.0,830371.3700000001,7248.93438,5792.1239000000005,25446.0,389643.84,4568437.58,808596.48,27037.0,4512.0,4899.0,9017.0,1149.0,1658.0,1261.0,1507.0,8906.0
110,Sulawesi Barat,2019,246.62,90015.43,8.388720000000001,7.4403999999999995,0.0,0.0,7440.4,0.0,6506.0,1235.0,805.0,650.0,555.0,45.0,35.0,27.0,142.0
111,Sulawesi Barat,2020,382.54999999999995,139632.47,8.388720000000001,7.4403999999999995,0.0,0.0,7440.4,0.0,11071.0,2221.0,5550.0,6549.0,1792.0,320.0,175.0,560.0,1762.0
112,Sulawesi Barat,2021,257.84000000000003,94114.88999999998,9.120000000000001,7.734,0.0,0.0,7734.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,Sulawesi Barat,2022,266.84000000000003,97394.78,7.65744,7.146800000000001,0.0,0.0,7146.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,Sulawesi Selatan,2019,1970.6,719270.8899999999,4038.0265066666666,2287.82023,696.0,48308.28,2189982.54,48833.40333333334,61108.0,20240.0,17056.0,16265.0,4197.0,2301.0,1948.0,2500.0,4375.0
115,Sulawesi Selatan,2020,3078.9300000000003,1123807.02,808.45839,808.4162100000001,0.0,0.0,808105.29,310.92,53194.0,18052.0,14412.0,15814.0,3468.0,2604.0,1983.0,2315.0,3854.0
116,Sulawesi Selatan,2021,3334.2000000000003,1216987.46,6496.563529999999,2468.9371,888.0,19457.64,2375657.83,72933.63,58977.0,17352.0,17621.0,17035.0,5610.0,2341.0,2998.0,2366.0,5700.0
117,Sulawesi Selatan,2022,2490.04,908859.4400000001,4809.0576,3586.10738,1200.0,125467.2,3386184.5,73255.66,66178.0,19269.0,21596.0,20469.0,6704.0,2620.0,3655.0,2478.0,7031.0
118,Sulawesi Tengah,2019,622.1,227061.44,5447.071080000001,46.22392,60.0,1701.58,43053.96,1408.38,9481.0,4312.0,7498.0,3975.0,880.0,475.0,466.0,465.0,2448.0
119,Sulawesi Tengah,2020,727.92,265689.17000000004,5447.071080000001,46.22392,60.0,1701.58,43053.96,1408.38,10596.0,1077.0,2944.0,2343.0,790.0,406.0,368.0,359.0,1115.0
120,Sulawesi Tengah,2021,698.39,254913.08,22.7956,21.67,120.0,420.0,20731.6,398.4,3500.0,1000.0,2000.0,1300.0,600.0,300.0,300.0,300.0,700.0
121,Sulawesi Tengah,2022,1049.77,383167.16000000003,10871.34656,70.77784,0.0,2983.16,65376.32,2418.36,14116.0,2577.0,5294.0,4731.0,1700.0,856.0,760.0,579.0,2025.0
122,Sulawesi Tenggara,2019,250.57999999999998,91459.73,79.39453,31.588655,0.0,0.0,31588.655,0.0,8000.0,5800.0,1600.0,2500.0,700.0,300.0,300.0,300.0,500.0
123,Sulawesi Tenggara,2020,258.4,94315.13,79.39453,31.588655,0.0,0.0,31588.655,0.0,6000.0,500.0,1100.0,1400.0,500.0,100.0,100.0,200.0,100.0
124,Sulawesi Tenggara,2021,343.69,125445.34,27.0,0.0,0.0,0.0,0.0,0.0,4365.0,1744.0,1678.0,1725.0,154.0,72.0,106.0,116.0,40.0
125,Sulawesi Tenggara,2022,630.8100000000001,230244.58000000002,131.78906,63.17731,0.0,0.0,63177.31,0.0,22175.0,3990.0,4130.0,7234.0,1398.0,951.0,701.0,805.0,9696.0
126,Sulawesi Utara,2019,890.0999999999999,324890.49,6553.74,485.032,40832.0,74600.0,280056.0,89544.0,21751.0,6124.0,4882.0,8262.0,1596.0,1398.0,1208.0,1463.0,3316.0
127,Sulawesi Utara,2020,847.21,309228.05,30.0,30.0,0.0,0.0,30000.0,0.0,21035.0,5889.0,6057.0,8320.0,1526.0,1263.0,1046.0,1538.0,3326.0
128,Sulawesi Utara,2021,928.81,339012.07,60.6,49.800000000000004,1260.0,660.0,47880.0,0.0,27858.0,5976.0,8885.0,15309.0,2050.0,3118.0,2450.0,2112.0,12242.0
129,Sulawesi Utara,2022,1331.3500000000001,485946.26,19570.62,1375.296,121236.0,223140.0,762288.0,268632.0,37503.0,14710.0,11884.0,21020.0,2402.0,3980.0,2521.0,2715.0,13265.0
130,Sumatera Barat,2019,1697.8100000000002,619704.7600000002,3196.7984050000005,2896.61112,12736.02,83539.62000000001,2740121.73,60213.75,48897.0,10418.0,15126.0,17543.0,9067.0,1439.0,944.0,1751.0,3915.0
131,Sumatera Barat,2020,1972.08,719807.71,3196.7984050000005,2896.61112,12736.02,83539.62000000001,2740121.73,60213.75,44519.0,11715.0,17797.0,20747.0,7755.0,1204.0,695.0,1140.0,3928.0
132,Sumatera Barat,2021,1805.1399999999999,658876.7000000001,1261.3856200000002,950.3215200000001,3600.0,27597.6,902994.36,16129.56,32722.0,6958.0,12946.0,14832.0,4833.0,891.0,519.0,1140.0,4759.0
133,Sumatera Barat,2022,2625.3,958235.3,5132.211190000001,4842.90072,21872.04,139481.64,4577249.1,104297.94,74646.0,16456.0,20628.0,29201.0,4271.0,2066.0,1569.0,2841.0,8322.0
134,Sumatera Selatan,2019,2861.84,1044567.5900000001,12247.69944,6725.706665000001,115386.0,383708.68,6058060.245,168551.73,27575.0,12478.0,5102.0,10937.0,682.0,932.0,489.0,405.0,1400.0
135,Sumatera Selatan,2020,3884.5099999999998,1417845.83,12247.69944,6725.706665000001,115386.0,383708.68,6058060.245,168551.73,34612.0,5721.0,6390.0,11780.0,3438.0,1701.0,1707.0,2805.0,11846.0
136,Sumatera Selatan,2021,2520.85,920109.3800000001,7621.884120000001,6855.49963,18000.0,610524.0,5967982.03,258993.6,28242.0,5727.0,6508.0,11128.0,2164.0,1183.0,946.0,1281.0,2821.0
137,Sumatera Selatan,2022,3634.1000000000004,1326447.71,16873.51476,6595.9137,212772.0,156893.36,6148138.46,78109.86,37103.0,8160.0,8768.0,14726.0,2175.0,2175.0,1236.0,1083.0,4574.0
138,Sumatera Utara,2019,4421.83,1613968.8,5768.669543333334,3310.0368399999998,5512.0,35168.0,3259697.64,9659.199999999999,18509.0,17679.0,9936.0,13410.0,1732.0,2083.0,884.0,816.0,4081.0
139,Sumatera Utara,2020,4282.8099999999995,1563224.1,4682.400000000001,4682.400000000001,0.0,0.0,4682280.0,120.0,26089.0,19912.0,11629.0,13315.0,1945.0,2063.0,775.0,829.0,3443.0
140,Sumatera Utara,2021,5370.18,1960111.15,9938.203130000002,4693.56713,8160.0,62892.0,4601827.13,20688.0,27123.0,9862.0,12531.0,11295.0,3695.0,3412.0,1350.0,3858.0,8524.0
141,Sumatera Utara,2022,5222.15,1906079.3399999999,2685.4055,554.1433900000001,8376.0,42612.0,494985.79,8169.6,28823.0,12625.0,11162.0,11317.0,1605.0,2607.0,1448.0,2099.0,8264.0
142,DI Yogyakarta,2019,2146.98,783652.45,25229.260075000002,1917.564415,3096.34,23447.96,1872264.3099999998,18755.805,18159.0,1411.0,2498.0,3421.0,1740.0,199.0,63.0,1287.0,1002.0
