Kode Identitas Bencana,ID Kabupaten,Tanggal Kejadian,Kejadian,Kabupaten,Provinsi,Penyebab,Meninggal,Hilang,Terluka,Rumah Rusak,Rumah Terendam,Fasum Rusak
1114 101 2022 012 016 1,1114,16/12/22,BANJIR,ACEH TAMIANG,Aceh,Akibat intensitas hujan sedang hingga lebat,0,0,0,0,100,0
3203 101 2022 012 016 1,3203,16/12/22,BANJIR,CIANJUR,Jawa Barat,Dipicu intensitas hujan yang tinggi disertai struktur tanah yang labil,0,0,0,0,134,1
3207 101 2022 012 016 1,3207,16/12/22,BANJIR,CIAMIS,Jawa Barat,Dipicu akibat hujan dengan intensitas lebat dan angin kencang,0,0,0,4,3,0
3171 101 2022 012 016 1,3171,16/12/22,BANJIR,KOTA JAKARTA SELATAN,Jakarta Raya,Dipicu akibat hujan dengan intensitas lebat disertai angin kencang yang terjadi di wilayah Jakarta Selatan dan meluapnya kali Krukut dan menggenangi rumah warga,0,0,0,1,373,0
7602 101 2022 012 016 1,7602,16/12/22,BANJIR,POLEWALI MANDAR,Sulawesi Barat,dipicu akibat hujan yang terjadi dengan intensitas lebat dan disertai angin kencang,0,0,0,41,0,1
1408 101 2022 012 016 1,1408,16/12/22,BANJIR,BENGKALIS,Riau,curah hujan tinggi,0,0,0,0,26,0
3374 101 2022 012 016 1,3374,16/12/22,BANJIR,KOTA SEMARANG,Jawa Tengah,Hujan Deras disertai angin menyebabkan tanggul samping lapangan golf di Ketileng Jebol dan melimpah ke beberapa area pemukiman di Perumahan Ketileng Indah yang menyebabkan beberapa rumah terdampak limpasan air tersebut.,0,0,0,0,18,0
7501 101 2022 012 016 1,7501,16/12/22,BANJIR,BOALEMO,Gorontalo,"Akibat curah hujan dengan intensitas tinggi, sedang/lebat  yang melanda Kabupaten Boalemo menyebabkan sungai meluap sampai ke pemukiman warga yang berada di bantaran sungai sampai pusat kota kabupaten Boalemo",0,0,0,0,2234,0
1212 101 2022 012 015 1,1212,15/12/22,BANJIR,DELI SERDANG,Sumatera Utara,"Hujan deras dengan durasi yang lama pada hari Senin,Selasa dan Rabu tgl 12-14 Desember 2022 di Kabupaten Deli Serdang dan Intensitas  hujan yg cukup lama sehingga meluapnya air sungai ke pemukiman warga. di tambah Drainase yang kurang menampung debit air Tanggul jebol di Kecamatan Hamparan Perak dan sampai sekarang tanggul yang jebol belum bisa diperbaiki karena debit air masih tinggi",0,1,1,2,735,0
1109 101 2022 012 014 1,1109,14/12/22,BANJIR,PIDIE,Aceh,Dipicu hujan dengan intensitas tinggi yang melanda wilayah Kabupaten Pidie mengakibatkan meluapnya air Sungai Krueng Palo,0,0,0,0,74,0
1101 101 2022 012 014 1,1101,14/12/22,BANJIR,SIMEULUE,Aceh,Dipicu curah hujan dengan intensitas tinggi,0,0,0,0,377,0
