"iso","adm1","umd_tree_cover_loss__year","umd_tree_cover_loss__ha","gfw_gross_emissions_co2e_all_gases__Mg"
"IDN",18,2009,13474.30767300325128966,10222501.313859460246894
"IDN",19,2009,13424.38263830156446040,9517326.168102469625565
"IDN",20,2009,1952.79129422233394476,1072847.356964505732927
"IDN",21,2009,5917.20884479785091295,3113775.037220298920136
"IDN",22,2009,14430.50448462933842965,11218443.676991697963843
"IDN",23,2009,23127.29583641498832065,16606546.532842205991480
"IDN",24,2009,247897.98897671100817992,226731352.203991298932387
"IDN",25,2009,11858.04010136633036398,8149740.064916717500580
"IDN",26,2009,23379.32805609008270277,13496181.085167807958604
"IDN",27,2009,52426.64026286771881398,35472791.412871630418208
"IDN",28,2009,30090.50538030169827236,19546365.290694141303742
"IDN",29,2009,6999.17966465879113683,5023726.793002561031918
"IDN",30,2009,40536.49846559551436917,28428092.556848173583505
"IDN",31,2009,201437.77961186144213171,145204783.0860841736255106
"IDN",32,2009,121058.01384429398512538,69502694.2875089013116045
"IDN",33,2009,25.45954528195557027,13127.066266610555136
"IDN",1,2010,40756.73821816220834017,24822843.950133553307817
"IDN",2,2010,199.07755690207469012,124229.775119255156121
"IDN",3,2010,23187.36941017277488211,11991882.485032912648318
"IDN",4,2010,1632.15819739434548173,970996.221996551089542
"IDN",5,2010,16012.65661769280036062,10871737.770548456142297
"IDN",6,2010,1569.53438780211130430,999726.163444998633934
"IDN",7,2010,2.29540150306287995,618.18720491326166
"IDN",8,2010,36678.61526917634214800,26514903.670658364351040
"IDN",9,2010,2631.85678316671632674,1702787.073069793775811
"IDN",10,2010,1322.72703693061624214,804357.872889448054242
"IDN",11,2010,1648.59179287064688511,1062033.022914279103938
"IDN",12,2010,152522.25223470896187762,112300120.638317842727759
"IDN",13,2010,26198.72675873251812944,15675724.783469586330301
"IDN",14,2010,142341.40069058141513305,106378793.194578947543590
"IDN",15,2010,137190.23058037514752316,97161017.507102954335261
"IDN",16,2010,4796.61364713429278815,2689217.248674394702868
"IDN",17,2010,14091.06289117772849388,7056973.423326295372785
"IDN",18,2010,6067.71397653379720904,4752664.455111343103309
"IDN",19,2010,4396.36938799477738099,3310143.486338145794276
"IDN",20,2010,1145.48827440951068089,697699.048049504483190
"IDN",21,2010,1779.74568607783420747,983671.617741684518122
"IDN",22,2010,11692.76693201075578299,9466511.840354944062168
"IDN",23,2010,25679.72947304978363225,19119627.809505525257862
"IDN",24,2010,341924.97392162960493236,358242395.337989822037645
"IDN",25,2010,7195.84748827124609131,5051527.878491624678712
"IDN",26,2010,8399.62447118339162253,4972731.974916404030624
"IDN",27,2010,21979.42034783774592538,15402880.362380633082025
"IDN",28,2010,7631.35989201724298064,5415946.561715197726515
"IDN",29,2010,2037.76024900487135972,1468983.336696923462452
"IDN",30,2010,22959.76019957347822269,15406272.184342787749960
"IDN",31,2010,120179.84382087180009521,97939449.216777444371344
"IDN",32,2010,93337.43624577803220007,46986948.267503991882149
"IDN",33,2010,142.22671009640904128,94206.173237050073076
"IDN",1,2011,47486.00119769029299033,30419055.601862750785260
"IDN",2,2011,216.58996481849179913,131629.778261317676799
"IDN",3,2011,32399.71478481435884519,16367922.022351622549597
"IDN",4,2011,2327.96630554533017757,1340263.229221878313933
"IDN",5,2011,24562.81290397384645209,17518757.219073713652058
"IDN",6,2011,2978.95907604093922840,1937113.358328397376890
"IDN",7,2011,3.4425590284448250,848.3523663291981
"IDN",8,2011,48905.17710110346477372,35416105.313089213813662
"IDN",9,2011,5420.91812660242331209,3385362.644963522654593
"IDN",10,2011,4499.86341353145468650,2658877.204297809723236
"IDN",11,2011,5850.81597813393920527,3558518.724725879178464
"IDN",12,2011,262480.87809064801843673,205778049.215005355887668
"IDN",13,2011,48257.02287853306998386,28666136.528376690217382
"IDN",14,2011,139335.34785567980690158,97829688.402056229387517
"IDN",15,2011,223821.73492950903147312,165299142.110439544953675
"IDN",16,2011,6945.03801077950192685,4089776.836357963732556
